country,country_code,year,total_pop,gdp,urban_pop_perc
Early-demographic dividend,EAR,1960,968909356.0,151408515299.426,22.8784811237719
East Asia & Pacific,EAS,1960,1042838451.0,157146103914.433,22.6267323397035
Europe & Central Asia (excluding high income),ECA,1960,128810451.0, 0, 38.7021152293627
Europe & Central Asia,ECS,1960,667887811.0,426424801995.06,55.5531586331214
Ecuador,ECU,1960,4590891.0,2069464937.19791,33.878
Egypt_Arab Rep.,EGY,1960,26896479.0,4206270175.31699,37.864
Euro area,EMU,1960,270148970.0,251413246919.607,61.5989140348379
Eritrea,ERI,1960,972547.0, 0, 9.799
Spain,ESP,1960,30455000.0,12424514013.7604,56.567
Estonia,EST,1960,1211537.0, 0, 57.533
Ethiopia,ETH,1960,21376693.0,1610511693.84215,6.433
European Union,EUU,1960,357710931.0,284932124120.844,58.683851278509
Fragile and conflict affected situations,FCS,1960,245446477.0,34157915798.1707,22.2405728418584
Finland,FIN,1960,4429634.0,5279481824.12983,55.29
Fiji,FJI,1960,404887.0,112328422.113084,29.681
France,FRA,1960,47412964.0,61756878990.3,61.88
Faroe Islands,FRO,1960,34127.0, 0, 21.383
Micronesia_Fed. Sts.,FSM,1960,43061.0, 0, 22.312
Gabon,GAB,1960,512316.0,141468977.799846,17.398
United Kingdom,GBR,1960,52400000.0,73233967692.1028,78.444
Georgia,GEO,1960,3645600.0, 0, 43.069
Ghana,GHA,1960,6961215.0,1217230094.97205,23.252
Gibraltar,GIB,1960,21839.0, 0, 100.0
Guinea,GIN,1960,3556749.0, 0, 10.472
Gambia_The,GMB,1960,398060.0, 0, 12.129
Guinea-Bissau,GNB,1960,577633.0, 0, 13.6
Equatorial Guinea,GNQ,1960,269807.0, 0, 25.537
Greece,GRC,1960,8331725.0,4274890306.82895,55.936
Grenada,GRD,1960,94058.0, 0, 30.332
Greenland,GRL,1960,32500.0, 0, 58.534
Guatemala,GTM,1960,4063655.0,1043599900.0,31.121
Guam,GUM,1960,69525.0, 0, 50.147
Guyana,GUY,1960,569143.0,170216241.126064,29.009
High income,HIC,1960,906950090.0,1092551546744.35,61.428418638146
Hong Kong SAR_China,HKG,1960,3114671.0,1320796651.69457,85.2
Honduras,HND,1960,2062060.0,335650000.0,22.747
Heavily indebted poor countries (HIPC),HPC,1960,163650527.0,21764253547.1734,12.4188743674623
Croatia,HRV,1960,4140181.0, 0, 30.154
Haiti,HTI,1960,3858443.0,273187200.0,15.593
Hungary,HUN,1960,9983967.0, 0, 55.911
IBRD only,IBD,1960,1893700976.0,317482813174.277,26.0923620348179
IDA & IBRD total,IBT,1960,2289188361.0,361892242003.14,23.9534263219406
IDA total,IDA,1960,395487385.0,43246282845.0915,13.6860535000967
IDA blend,IDB,1960,120801801.0,11879974957.7978,18.6193712500776
Indonesia,IDN,1960,88296070.0, 0, 14.586
IDA only,IDX,1960,274685584.0,32343504360.8959,11.5086619685366
Isle of Man,IMN,1960,48868.0, 0, 55.123
India,IND,1960,435990338.0,37029883876.1839,17.924
Ireland,IRL,1960,2828600.0,1998550221.80554,45.184
Iran_Islamic Rep.,IRN,1960,21470434.0,4199134389.90099,33.735
Iraq,IRQ,1960,7022052.0,1537252193.09912,42.899
Iceland,ISL,1960,175574.0,252169712.042125,80.3
Israel,ISR,1960,2114020.0,3064824613.79481,76.848
Italy,ITA,1960,50199700.0,42012422612.3955,59.361
Jamaica,JAM,1960,1650005.0,699064380.374248,33.769
Jordan,JOR,1960,853471.0, 0, 50.879
Japan,JPN,1960,93216000.0,47419238274.4619,63.272
Kazakhstan,KAZ,1960,9429981.0, 0, 44.198
Kenya,KEN,1960,7695307.0,791265459.493816,7.362
Kyrgyz Republic,KGZ,1960,2172300.0, 0, 34.181
Cambodia,KHM,1960,5449966.0, 0, 10.285
Kiribati,KIR,1960,47157.0, 0, 16.29
St. Kitts and Nevis,KNA,1960,55810.0,12366635.7500773,27.644
Korea_Rep.,KOR,1960,25012374.0,3958811881.18812,27.71
Kuwait,KWT,1960,311060.0, 0, 74.893
Latin America & Caribbean (excluding high income),LAC,1960,194183394.0,68130522456.4681,48.0051466463451
Lao PDR,LAO,1960,2121514.0, 0, 7.946
Lebanon,LBN,1960,1794406.0, 0, 42.343
Liberia,LBR,1960,1139522.0,190495600.0,18.632
Libya,LBY,1960,1492890.0,401644248.9423,27.323
St. Lucia,LCA,1960,92585.0, 0, 21.46
Latin America & Caribbean,LCN,1960,218624695.0,84329838400.4279,49.4562065358754
Least developed countries: UN classification,LDC,1960,245116608.0,28148829117.5064,9.65309049732771
Low income,LIC,1960,136125731.0,14591716825.8757,13.4682866763742
Liechtenstein,LIE,1960,16451.0, 0, 20.437
Sri Lanka,LKA,1960,9661389.0,1409873949.57983,16.431
Lower middle income,LMC,1960,819047154.0,85185625016.4477,18.2490200326293
Low & middle income,LMY,1960,2106419056.0,276980151259.582,21.5780564349422
Lesotho,LSO,1960,736500.0,34579986.1680055,3.512
Late-demographic dividend,LTE,1960,1094880069.0,183039562224.255,26.2301119943713
Lithuania,LTU,1960,2778550.0, 0, 39.46
Luxembourg,LUX,1960,313970.0,709941874.044355,69.556
Latvia,LVA,1960,2120979.0, 0, 52.867
Macao SAR_China,MAC,1960,173315.0, 0, 95.289
St. Martin (French part),MAF,1960,4250.0, 0, 
Morocco,MAR,1960,11624933.0,2037154741.93211,29.357
Monaco,MCO,1960,21808.0, 0, 100.0
Moldova,MDA,1960,2058020.0, 0, 23.424
Madagascar,MDG,1960,5111029.0,673081724.751168,10.642
Maldives,MDV,1960,91189.0, 0, 11.173
Middle East & North Africa,MEA,1960,103189039.0,25169910581.9324,34.9561690833268
Mexico,MEX,1960,36724615.0,13040000000.0,50.753
Marshall Islands,MHL,1960,14703.0, 0, 35.584
Middle income,MIC,1960,1970293325.0,263792074041.094,22.1386330781644
North Macedonia,MKD,1960,1435059.0, 0, 34.02
Mali,MLI,1960,5402550.0, 0, 11.066
Malta,MLT,1960,326550.0, 0, 90.129
Myanmar,MMR,1960,21730250.0,545098447.640862,19.226
Middle East & North Africa (excluding high income),MNA,1960,97138700.0,18009066976.6514,33.7739261303682
Montenegro,MNE,1960,480579.0, 0, 18.788
Mongolia,MNG,1960,977595.0, 0, 35.679
Northern Mariana Islands,MNP,1960,8736.0, 0, 51.219
Mozambique,MOZ,1960,6713695.0, 0, 6.868
Mauritania,MRT,1960,824298.0, 0, 6.88
Mauritius,MUS,1960,676683.0,162089563.829564,35.111
Malawi,MWI,1960,3628134.0, 0, 4.39
Malaysia,MYS,1960,7956197.0,1916229477.13657,26.598
North America,NAC,1960,198622564.0,582624755153.847,69.9180690805905
Namibia,NAM,1960,591465.0, 0, 17.909
New Caledonia,NCL,1960,79819.0, 0, 37.36
Niger,NER,1960,3505050.0,449526873.29589,5.793
Nigeria,NGA,1960,45053782.0,4196174501.5302,15.41
Nicaragua,NIC,1960,1782370.0,227223322.141537,39.581
Netherlands,NLD,1960,11486631.0,13282979014.563,59.752
Norway,NOR,1960,3581239.0,5197398721.41367,49.92
Nepal,NPL,1960,10123658.0,508334413.965087,3.48
Nauru,NRU,1960,4607.0, 0, 100.0
New Zealand,NZL,1960,2371800.0,5536098606.29231,75.998
OECD members,OED,1960,809580666.0,1061139061863.14,62.1412419769298
Oman,OMN,1960,530485.0,44234653.976659,16.4
Other small states,OSS,1960,5458853.0, 0, 37.6614583860382
Pakistan,PAK,1960,45709310.0,3749265014.69971,22.104
Panama,PAN,1960,1126005.0,537147100.0,41.249
Peru,PER,1960,10174127.0,2571986572.12719,46.811
Philippines,PHL,1960,27891897.0,7515894110.56487,30.297
Palau,PLW,1960,9328.0, 0, 56.823
Papua New Guinea,PNG,1960,1995110.0,230496036.879366,3.725
Poland,POL,1960,29637450.0, 0, 47.892
Pre-demographic dividend,PRE,1960,188920253.0,24374805009.0909,13.4332575172658
Puerto Rico,PRI,1960,2358000.0,1691900000.0,44.547
"Korea_Dem. People's Rep.",PRK,1960,11722953.0, 0,40.195
Portugal,PRT,1960,8857716.0,3339150157.85605,34.955
Paraguay,PRY,1960,1883514.0,288884368.016934,35.569
West Bank and Gaza,PSE,1960, 0, ,44.044
Pacific island small states,PSS,1960,912120.0, 0, 22.0538902808841
Post-demographic dividend,PST,1960,756379385.0,1036595543314.38,63.2583343460637
French Polynesia,PYF,1960,83671.0, 0, 42.281
Qatar,QAT,1960,36010.0, 0, 85.275
Romania,ROU,1960,18406905.0, 0, 34.209
Russian Federation,RUS,1960,119897000.0, 0, 53.731
Rwanda,RWA,1960,3022294.0,119000024.0,2.6
South Asia,SAS,1960,562663671.0,47274328378.8543,16.6403034845216
Saudi Arabia,SAU,1960,2435403.0,1748124063.55556,31.25
Sudan,SDN,1960,8364489.0,1126364161.7644,10.746
Senegal,SEN,1960,3340907.0,1003692370.46869,23.0
Singapore,SGP,1960,1646400.0,704751700.302494,100.0
Solomon Islands,SLB,1960,139688.0, 0, 5.768
Sierra Leone,SLE,1960,2268356.0,322009961.547048,17.352
El Salvador,SLV,1960,2791459.0, 0, 38.354
San Marino,SMR,1960,15428.0, 0, 48.9
Somalia,SOM,1960,2876331.0,180459936.776025,17.312
Serbia,SRB,1960,6638992.0, 0, 29.064
Sub-Saharan Africa (excluding high income),SSA,1960,227661305.0,35988399588.8194,14.6314549268485
South Sudan,SSD,1960,2931559.0, 0, 8.748
Sub-Saharan Africa,SSF,1960,227703005.0,35999878594.0433,14.6338432678787
Small states,SST,1960,8084378.0, 0, 35.6343940243764
Sao Tome and Principe,STP,1960,68012.0, 0, 16.073
Suriname,SUR,1960,263918.0,99650000.0,47.26
Slovak Republic,SVK,1960,4068095.0, 0, 33.464
Slovenia,SVN,1960,1584720.0, 0, 28.204
Sweden,SWE,1960,7484656.0,15930258332.069,72.49
Eswatini,SWZ,1960,345337.0,35076845.9692616,3.913
Sint Maarten (Dutch part),SXM,1960,2715.0, 0, 100.0
Seychelles,SYC,1960,41700.0,12012024.6246505,27.673
Syrian Arab Republic,SYR,1960,4673500.0,857704413.407821,36.807
Turks and Caicos Islands,TCA,1960,5599.0, 0, 47.679
Chad,TCD,1960,3049838.0,313582728.147574,6.695
East Asia & Pacific (IDA & IBRD countries),TEA,1960,884252517.0,80669679176.8241,16.6438605763889
Europe & Central Asia (IDA & IBRD countries),TEC,1960,308759361.0, 0, 45.0170741485597
Togo,TGO,1960,1673110.0,171057069.137772,10.098
Thailand,THA,1960,26851747.0,2760750860.62197,19.672
Tajikistan,TJK,1960,2112131.0, 0, 33.168
Turkmenistan,TKM,1960,1643457.0, 0, 46.412
Latin America & the Caribbean (IDA & IBRD countries),TLA,1960,208671107.0,79359156748.2322,49.1779196146547
Timor-Leste,TLS,1960,468118.0, 0, 10.091
Middle East & North Africa (IDA & IBRD countries),TMN,1960,97138700.0,17842510180.4703,33.7739261303682
Tonga,TON,1960,66170.0, 0, 17.552
South Asia (IDA & IBRD),TSA,1960,562663671.0,47274328378.8543,16.6403034845216
Sub-Saharan Africa (IDA & IBRD countries),TSS,1960,227703005.0,35999878594.0433,14.6338432678787
Trinidad and Tobago,TTO,1960,844943.0,535673252.260337,34.155
Tunisia,TUN,1960,4267288.0, 0, 37.511
Turkiye,TUR,1960,28329898.0,7566666666.66667,31.515
Tuvalu,TUV,1960,5598.0, 0, 15.895
Tanzania,TZA,1960,9901419.0,2651729807.38808,5.246
Uganda,UGA,1960,7640973.0,423145605.043164,4.417
Ukraine,UKR,1960,42824093.0, 0, 46.792
Upper middle income,UMC,1960,1151246171.0,179283983325.458,24.9082441446816
Uruguay,URY,1960,2529957.0,1242289239.20493,80.241
United States,USA,1960,180671000.0,541988586206.897,69.996
Uzbekistan,UZB,1960,8209109.0, 0, 33.978
St. Vincent and the Grenadines,VCT,1960,84388.0,13066634.0000817,25.943
Venezuela_RB,VEN,1960,8160090.0,7663938303.07172,61.613
British Virgin Islands,VGB,1960,7950.0, 0, 12.228
Virgin Islands (U.S.),VIR,1960,32500.0, 0, 56.477
Viet Nam,VNM,1960,32531933.0, 0, 14.7
Vanuatu,VUT,1960,64431.0, 0, 10.404
World,WLD,1960,3021529236.0,1371947205151.18,33.6516615767447
Samoa,WSM,1960,112490.0, 0, 18.926
Kosovo,XKX,1960,984846.0, 0, 
Yemen_Rep.,YEM,1960,5532301.0, 0, 9.1
South Africa,ZAF,1960,16440172.0,8748596500.5614,46.619
Zambia,ZMB,1960,3153729.0,698739720.783607,18.145
Zimbabwe,ZWE,1960,3809389.0,1052990400.0,12.608
Aruba,ABW,1961,55578.0, 0, 50.761
Africa Eastern and Southern,AFE,1961,133534923.0,24963977550.732,14.8251752460665
Afghanistan,AFG,1961,9214083.0, 0, 8.684
Africa Western and Central,AFW,1961,99706674.0,12707877772.0913,15.0944452002782
Angola,AGO,1961,5301583.0, 0, 10.798
Albania,ALB,1961,1659800.0, 0, 30.943
Andorra,AND,1961,10283.0, 0, 60.983
Arab World,ARB,1961,93931683.0,19997084153.9204,31.7271627316738
United Arab Emirates,ARE,1961,137989.0, 0, 74.383
Argentina,ARG,1961,20726276.0, 0, 74.217
Armenia,ARM,1961,1927484.0, 0, 52.147
American Samoa,ASM,1961,20666.0, 0, 66.641
Antigua and Barbuda,ATG,1961,56540.0, 0, 39.04
Australia,AUS,1961,10483000.0,19684003149.4405,81.941
Austria,AUT,1961,7086299.0,7346566037.83392,64.814
Azerbaijan,AZE,1961,4045750.0, 0, 52.364
Burundi,BDI,1961,2835119.0,202999991.80106,2.115
Belgium,BEL,1961,9183948.0,12561701694.3319,92.554
Benin,BEN,1961,2559223.0,235668220.508202,9.856
Burkina Faso,BFA,1961,4848224.0,350247234.260712,4.796
Bangladesh,BGD,1961,53310348.0,4817580375.0,5.278
Bulgaria,BGR,1961,7943118.0, 0, 38.782
Bahrain,BHR,1961,172346.0, 0, 82.337
"Bahamas, The",BHS,1961,122197.0,190021993.159208,60.454
Bosnia and Herzegovina,BIH,1961,3348035.0, 0, 19.686
Belarus,BLR,1961,8271216.0, 0, 33.522
Belize,BLZ,1961,93632.0,29964999.965,53.72
Bermuda,BMU,1961,43123.0,76500000.0,100.0
Bolivia,BOL,1961,3778731.0,406000000.0,37.059
Brazil,BRA,1961,74605447.0,17275940449.3837,47.122
Barbados,BRB,1961,233148.0,85363759.3050333,36.849
Brunei Darussalam,BRN,1961,92517.0, 0, 45.228
Bhutan,BTN,1961,230602.0, 0, 3.792
Botswana,BWA,1961,527942.0,32902612.8664855,3.097
Central African Republic,CAF,1961,1734580.0,123134583.463559,20.751
Canada,CAN,1961,18271000.0,41038192837.9035,69.668
Central Europe and the Baltics,CEB,1961,92232738.0, 0, 45.2073380737434
Switzerland,CHE,1961,5434294.0,11713348834.3069,71.243
Channel Islands,CHI,1961,111782.0, 0, 38.436
Chile,CHL,1961,8324802.0,4829238095.2381,68.66
China,CHN,1961,660330000.0,50056685957.359,16.708
"Cote d'Ivoire",CIV,1961,3810151.0,618245634.179831,18.911
Cameroon,CMR,1961,5239273.0,652777608.320492,14.488
Congo_Dem. Rep.,COD,1961,15662374.0,3086746857.14286,22.523
Congo_Rep.,COG,1961,1084389.0,151675738.926342,32.318
Colombia,COL,1961,16095203.0,4540447761.19403,47.702
Comoros,COM,1961,201201.0, 0, 13.348
Cabo Verde,CPV,1961,215087.0, 0, 16.948
Costa Rica,CRI,1961,1377920.0,490325181.614275,34.329
Caribbean small states,CSS,1961,1751114.0,699601326.176699,36.6008355983677
Cuba,CUB,1961,7387117.0, 0, 58.588
Curacao,CUW,1961,126125.0, 0, 75.102
Cayman Islands,CYM,1961,8601.0, 0, 100.0
Cyprus,CYP,1961,595514.0, 0, 36.175
Czechia,CZE,1961,9586651.0, 0, 60.063
Germany,DEU,1961,73377632.0,96558204043.1028,71.697
Djibouti,DJI,1961,89390.0, 0, 51.448
Dominica,DMA,1961,60209.0, 0, 37.912
Denmark,DNK,1961,4611687.0,7058361229.35415,74.417
Dominican Republic,DOM,1961,3373233.0,654100200.0,31.112
Algeria,DZA,1961,11628883.0,2434747055.94018,31.797
East Asia & Pacific (excluding high income),EAP,1961,895534581.0,71139478707.1349,17.4240002796017
Early-demographic dividend,EAR,1961,994176841.0,161302482593.386,23.1655715664594
East Asia & Pacific,EAS,1961,1044749888.0,158406594384.514,23.2115995096024
Europe & Central Asia (excluding high income),ECA,1961,131617926.0, 0, 39.3207644806972
Europe & Central Asia,ECS,1961,675549997.0,469110075856.153,56.0815544679835
Ecuador,ECU,1961,4722331.0,1753850955.05808,34.466
Egypt_Arab Rep.,EGY,1961,27600898.0,4494575422.17787,38.272
Euro area,EMU,1961,272472951.0,279722204488.921,62.082395574484
Eritrea,ERI,1961,995573.0, 0, 10.114
Spain,ESP,1961,30739250.0,14238126759.7335,57.303
Estonia,EST,1961,1225077.0, 0, 58.304
Ethiopia,ETH,1961,21906102.0,1680859514.1016,6.65
European Union,EUU,1961,360682976.0,316579871854.423,59.2224359198533
Fragile and conflict affected situations,FCS,1961,250748792.0,35668456087.2839,22.673126420747
Finland,FIN,1961,4461005.0,5984433774.41601,56.321
Fiji,FJI,1961,417406.0,116987784.913739,30.248
France,FRA,1961,47905982.0,66806595974.7159,62.607
Faroe Islands,FRO,1961,34557.0, 0, 22.141
Micronesia_Fed. Sts.,FSM,1961,44610.0, 0, 22.553
Gabon,GAB,1961,518266.0,167637907.122782,18.33
United Kingdom,GBR,1961,52800000.0,77741965703.3544,78.374
Georgia,GEO,1961,3703600.0, 0, 43.559
Ghana,GHA,1961,7162667.0,1302674324.88378,23.797
Gibraltar,GIB,1961,21872.0, 0, 100.0
Guinea,GIN,1961,3619551.0, 0, 10.936
Gambia_The,GMB,1961,408930.0, 0, 12.331
Guinea-Bissau,GNB,1961,582532.0, 0, 13.747
Equatorial Guinea,GNQ,1961,274896.0, 0, 26.144
Greece,GRC,1961,8398050.0,4892397431.33292,56.453
Grenada,GRD,1961,95335.0, 0, 30.519
Greenland,GRL,1961,33700.0, 0, 59.806
Guatemala,GTM,1961,4186201.0,1076699900.0,31.768
Guam,GUM,1961,71311.0, 0, 51.23
Guyana,GUY,1961,582568.0,185849535.376162,29.049
High income,HIC,1961,918072786.0,1165197112448.35,61.9892714153619
Hong Kong SAR_China,HKG,1961,3168100.0,1383681651.13776,85.293
Honduras,HND,1961,2121242.0,356200000.0,23.318
Heavily indebted poor countries (HIPC),HPC,1961,167634887.0,22459725995.3549,12.7660052269012
Croatia,HRV,1961,4167292.0, 0, 31.04
Haiti,HTI,1961,3929030.0,271066000.0,15.975
Hungary,HUN,1961,10029321.0, 0, 56.335
IBRD only,IBD,1961,1915613080.0,314825492753.68,26.6632377388361
IDA & IBRD total,IBT,1961,2321079191.0,362462403613.599,24.4524655410006
IDA total,IDA,1961,405466111.0,45696271473.9688,13.9816161633507
IDA blend,IDB,1961,123878633.0,12720578451.4747,18.9415268333402
Indonesia,IDN,1961,90791249.0, 0, 14.821
IDA only,IDX,1961,281587478.0,33970460024.7388,11.7917395210953
Isle of Man,IMN,1961,48451.0, 0, 55.345
India,IND,1961,446564729.0,39232435784.0358,18.032
Ireland,IRL,1961,2824400.0,2151772979.96956,45.393
Iran_Islamic Rep.,IRN,1961,22125726.0,4426949094.83828,34.389
Iraq,IRQ,1961,7194553.0,1671960965.21561,44.432
Iceland,ISL,1961,179029.0,257703244.559997,80.803
Israel,ISR,1961,2185000.0,3701628227.73845,77.985
Italy,ITA,1961,50536350.0,46649487320.4225,59.856
Jamaica,JAM,1961,1673261.0,748043500.7826,34.5
Jordan,JOR,1961,897591.0, 0, 52.412
Japan,JPN,1961,94055000.0,57266758179.5883,64.213
Kazakhstan,KAZ,1961,9742085.0, 0, 44.746
Kenya,KEN,1961,7987770.0,792959472.816211,7.565
Kyrgyz Republic,KGZ,1961,2255900.0, 0, 34.511
Cambodia,KHM,1961,5571168.0, 0, 10.293
Kiribati,KIR,1961,48323.0, 0, 16.918
St. Kitts and Nevis,KNA,1961,55334.0,12483302.125078,28.269
Korea_Rep.,KOR,1961,25765673.0,2417628736.52655,28.531
Kuwait,KWT,1961,345945.0, 0, 75.787
Latin America & Caribbean (excluding high income),LAC,1961,199676421.0,71345935570.5127,48.7982846644121
Lao PDR,LAO,1961,2169796.0, 0, 8.02
Lebanon,LBN,1961,1850084.0, 0, 44.039
Liberia,LBR,1961,1167717.0,183920900.0,19.291
Libya,LBY,1961,1555699.0,443905612.037755,28.197
St. Lucia,LCA,1961,93490.0, 0, 21.696
Latin America & Caribbean,LCN,1961,224737321.0,89709981773.9291,50.2584291953647
Least developed countries: UN classification,LDC,1961,251053631.0,29432612773.9067,9.89894685743462
Low income,LIC,1961,139355324.0,14789797831.6894,13.8079631409633
Liechtenstein,LIE,1961,16877.0, 0, 20.315
Sri Lanka,LKA,1961,9899372.0,1444327731.09244,16.592
Lower middle income,LMC,1961,839649083.0,90809724342.6027,18.4611048820046
Low & middle income,LMY,1961,2136240778.0,275467988962.025,22.0475017771053
Lesotho,LSO,1961,758824.0,35699985.7200057,3.96
Late-demographic dividend,LTE,1961,1096959453.0,170099892398.301,26.9955821853162
Lithuania,LTU,1961,2823550.0, 0, 40.443
Luxembourg,LUX,1961,316845.0,710163719.406917,69.927
Latvia,LVA,1961,2152681.0, 0, 53.663
Macao SAR_China,MAC,1961,173323.0, 0, 95.328
St. Martin (French part),MAF,1961,4386.0, 0, 
Morocco,MAR,1961,11931085.0,2025693539.55842,29.849
Monaco,MCO,1961,21901.0, 0, 100.0
Moldova,MDA,1961,2103327.0, 0, 24.216
Madagascar,MDG,1961,5246158.0,699161944.558097,10.971
Maldives,MDV,1961,93450.0, 0, 11.23
Middle East & North Africa,MEA,1961,105933296.0,26730873312.6987,35.7030817569388
Mexico,MEX,1961,37890118.0,14160000000.0,51.59
Marshall Islands,MHL,1961,15219.0, 0, 36.959
Middle income,MIC,1961,1996885454.0,262100046400.545,22.6228003967904
North Macedonia,MKD,1961,1455171.0, 0, 35.214
Mali,MLI,1961,5482283.0, 0, 11.361
Malta,MLT,1961,325250.0, 0, 90.069
Myanmar,MMR,1961,22210581.0,605581577.287066,19.566
Middle East & North Africa (excluding high income),MNA,1961,99660885.0,18550938512.682,34.4885624906401
Montenegro,MNE,1961,491140.0, 0, 19.502
Mongolia,MNG,1961,1009284.0, 0, 37.682
Northern Mariana Islands,MNP,1961,8995.0, 0, 52.741
Mozambique,MOZ,1961,6834936.0, 0, 7.051
Mauritania,MRT,1961,846167.0,159213430.204754,7.435
Mauritius,MUS,1961,680757.0,191757729.477729,35.829
Malawi,MWI,1961,3715534.0, 0, 4.489
Malaysia,MYS,1961,8164443.0,1901856122.72231,27.241
North America,NAC,1961,202005123.0,603055003182.732,70.3191959889057
Namibia,NAM,1961,603067.0, 0, 18.334
New Caledonia,NCL,1961,82521.0, 0, 38.781
Niger,NER,1961,3608162.0,485785230.978987,5.896
Nigeria,NGA,1961,45989310.0,4467287893.08484,15.633
Nicaragua,NIC,1961,1836451.0,244144236.65331,40.03
Netherlands,NLD,1961,11638712.0,14599836396.388,60.02
Norway,NOR,1961,3609800.0,5669689210.3186,50.998
Nepal,NPL,1961,10318396.0,531959561.62226,3.571
Nauru,NRU,1961,4774.0, 0, 100.0
New Zealand,NZL,1961,2419700.0,5721995118.28133,76.525
OECD members,OED,1961,820797329.0,1131592693045.78,62.6385050861149
Oman,OMN,1961,539854.0,45634484.7987052,17.475
Other small states,OSS,1961,5547310.0, 0, 38.1273592306902
Pakistan,PAK,1961,46921277.0,4118647627.04746,22.501
Panama,PAN,1961,1159870.0,599026300.0,41.853
Peru,PER,1961,10475123.0,2897852693.27494,47.398
Philippines,PHL,1961,28792621.0,8171194424.94498,30.555
Palau,PLW,1961,9555.0, 0, 57.114
Papua New Guinea,PNG,1961,2046127.0,244832039.173126,4.024
Poland,POL,1961,29964000.0, 0, 48.527
Pre-demographic dividend,PRE,1961,193342737.0,25267764846.1585,13.7897960304089
Puerto Rico,PRI,1961,2399722.0,1865100000.0,45.933
"Korea_Dem. People's Rep.",PRK,1961,11990713.0, 0, 41.162
Portugal,PRT,1961,8929316.0,3573719084.53354,35.344
